asset_uid,asset_name,type,name,label::english (en),label::french (fr),hint::english (en),hint::french (fr),calculation,required,relevant,constraint,default,repeat_count,constraint_message::english (en),constraint_message::french (fr),appearance,choice_filter,parameters,_kuid,_qpath,question_order,_dlt_parent_id
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_6_exp_water_calc,,,,,"if(selected(${H_6_0_exp_water_yn},'cannot') or not(selected(${H_1_short_exp_types},'water')),0,(${H_6_exp_water}))",,,,,,,,,,,JXYVImA9d,,213,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_7_exp_fem_calc,,,,,"if(selected(${H_7_0_exp_fem_yn},'cannot') or not(selected(${H_1_short_exp_types},'feminine_hygiene_products')),0,(${H_7_exp_fem}))",,,,,,,,,,,BKbNvQUpO,,214,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_8_exp_hygiene_calc,,,,,"if(selected(${H_8_0_exp_hygiene_yn},'cannot') or not(selected(${H_1_short_exp_types},'other_hygiene_items')),0,(${H_8_exp_hygiene}))",,,,,,,,,,,h0a2KPx8e,,215,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_9_exp_nfi_calc,,,,,"if( selected(${H_9_0_exp_nfi_yn}, 'cannot') or not(selected(${H_1_short_exp_types}, 'non_hygiene_non_food_household_items_for_frequent_purchase')),0, ${H_9_exp_nfi})",,,,,,,,,,,IE8yLLZGv,,216,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_10_exp_utilities_calc,,,,,"if(selected(${H_10_0_exp_utilities_yn},'cannot') or not(selected(${H_1_short_exp_types},'utilities')),0,(${H_10_exp_utilities}))",,,,,,,,,,,J4f5GsAKj,,217,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_11_exp_transportation_calc,,,,,"if(selected(${H_11_0_exp_transportation_yn},'cannot') or not(selected(${H_1_short_exp_types},'transportation')),0,(${H_11_exp_transportation}))",,,,,,,,,,,awsLQBAMu,,218,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_12_exp_fuel_calc,,,,,"if(selected(${H_12_0_exp_fuel_yn},'cannot') or not(selected(${H_1_short_exp_types},'fuel_for_other_purposes')),0,(${H_12_exp_fuel}))",,,,,,,,,,,rhosM2jt1,,219,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_13_exp_communications_calc,,,,,"if(selected(${H_13_0_exp_communications_yn},'cannot') or not(selected(${H_1_short_exp_types},'communications')),0,(${H_13_exp_communications}))",,,,,,,,,,,YL68pJwLX,,220,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_14_exp_childcare_calc,,,,,"if(selected(${H_14_0_exp_childcare_yn},'cannot') or not(selected(${H_1_short_exp_types},'childcare_elderly_care_care_for_disabled_people')),0,(${H_14_exp_childcare}))",,,,,,,,,,,TmD7Rb6Uf,,221,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_15_exp_recreation_calc,,,,,"if(selected(${H_15_0_exp_recreation_yn},'cannot') or not(selected(${H_1_short_exp_types},'recreation_sport_and_culture')),0,(${H_15_exp_recreation}))",,,,,,,,,,,KWgVuzwa4,,222,hNTgnRf31uCmvw
